empresa;cargo;localizacao;modalidade;contrato;pcd;data
Bip Brasil;Analista de Dados Pleno - Manufacturing ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;07/08/2023
MESHA TECNOLOGIA;Analista de Dados - Híbrido (Maceió);Maceió - AL;Presencial;Efetivo;Também p/ PcD;07/08/2023
Stefanini Group;Cientista de Dados Pleno;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;07/08/2023
Stefanini Group;Cientista de Dados Jr;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;07/08/2023
Digio;Estagiário de Dados e MIS;Barueri - SP;Remoto;Estágio;Também p/ PcD;07/08/2023
Stefanini Group;Analista de Dados;São José d... - SP;Presencial;Efetivo;Não informado;07/08/2023
Superlógica Tecnologias ;Pessoa Analista de Marketing Pleno - Foco em Dados;Londrina - PR;Remoto;Efetivo;Também p/ PcD;07/08/2023
Omie;Engenheiro de Dados II;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;07/08/2023
Conexia;Administrador de Banco de Dados;Ribeirão P... - SP;Remoto;Efetivo;Também p/ PcD;07/08/2023
Montreal & Tecnologia & Inovação;Administrador de Banco de Dados ADABAS/NATURAL - Regional RJ;Rio de Jan... - RJ;Presencial;Efetivo;Não informado;07/08/2023
V360;V360 - Estágio em Processos e Projetos, Dados e Gente e Gestão - ChegaMais;Não informado;Remoto;Estágio;Também p/ PcD;06/08/2023
Stefanini Group;ADMINISTRADOR DADOS SR - AD;Brasãƒâlia - DF;Remoto;Efetivo;Também p/ PcD;04/08/2023
Tech Sicredi;Cientista de Dados - Foco em Investimentos;Porto Alegre - RS;Remoto;Efetivo;Não informado;04/08/2023
inventCloud;Cientista de Dados Especialista em Oracle  - OCI;São Paulo - SP;Remoto;Pessoa Jurídica;Não informado;04/08/2023
NAVA | Technology for Business;Pessoa Engenheira de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;04/08/2023
Brasilseg;Especialista em Ciência de Dados / Data Science Specialist / Cientista de Dados / Data Scientist ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;04/08/2023
ACE Ventures;Estágio de Inteligência de Dados;São Paulo - SP;Remoto;Estágio;Também p/ PcD;03/08/2023
Contabilizei Carreira Tech ;Engenheiro de Dados Sênior ;Não informado;Remoto;Efetivo;Também p/ PcD;03/08/2023
Contabilizei Carreira Tech ;Analista de Dados Pleno ;Não informado;Remoto;Efetivo;Também p/ PcD;03/08/2023
Rede Verbita de Educação;Analista de Dados Júnior;Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;03/08/2023
CNP Seguradora;ESPECIALISTA DE DADOS;Barueri - SP;Presencial;Efetivo;Também p/ PcD;03/08/2023
Confidencial;ANALISTA BUSINESS INTELLIGENCE PLENO  - DADOS;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;03/08/2023
Nordica;Engenheiro de Dados;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;03/08/2023
Venha fazer parte da revolução da logística e mobilidade no mundo!;People Ops Sr - Analista de Dados e Projetos;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;03/08/2023
Venha fazer parte da revolução da logística e mobilidade no mundo!;People Ops Pl - Analista de Dados e Projetos;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;03/08/2023
Aramis;Engenheiro de Dados - TI ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;03/08/2023
Grupo Panvel;Analista de Planejamento Financeiro - Ênfase em dados;Eldorado d... - RS;Presencial;Efetivo;Também p/ PcD;03/08/2023
Central IT;ANALISTA DE BANCO DE DADOS PLENO;Não informado;Presencial;Efetivo;Também p/ PcD;03/08/2023
Voke;Supervisor de Dados - São Paulo;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;03/08/2023
GAVB ;Pessoa Especialista em Governança de Dados I;Não informado;Remoto;Efetivo;Não informado;03/08/2023
Stefanini Group;Pessoa Engenheira de Dados;Não informado;Remoto;Efetivo;Também p/ PcD;02/08/2023
BETC HAVAS;Supervisor(a) de dados;São Paulo - SP;Presencial;Efetivo;Não informado;02/08/2023
Infotec Brasil;Banco de Talentos - Engenheiro de Dados  - Engenheiro de Aplicação;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;02/08/2023
Infotec Brasil;Banco de Talentos - Engenheiro de Dados ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;02/08/2023
Dotz;ANALISTA DE DADOS JÚNIOR | RECUPERAÇÃO DE CRÉDITO ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;02/08/2023
Vagas Valgroup;Analista de Dados;Lorena - SP;Presencial;Efetivo;Também p/ PcD;02/08/2023
Vagas MRM Brasil;Analista de Dados Pleno Data Visualization (DATAVIS) - Freelancer;São Paulo - SP;Presencial;Freelancer;Também p/ PcD;02/08/2023
Vagas MRM Brasil;Analista de Dados Pleno Machine Learning (ML) - Freelancer;São Paulo - SP;Presencial;Freelancer;Também p/ PcD;02/08/2023
Senff;Analista de Dados Pleno;Curitiba - PR;Presencial;Efetivo;Também p/ PcD;02/08/2023
Itaú Unibanco;Faça sua Carreira de Dados no Itaú 🚀🧡 ;Sao Paulo - SP;Presencial;Efetivo;Também p/ PcD;02/08/2023
Qexpert ;Analista de Dados Júnior;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;02/08/2023
Infotec Brasil;Analista de Dados - Macaé/RJ;Macaé - RJ;Presencial;Efetivo;Também p/ PcD;02/08/2023
Quero Educação;Analista de Dados | Júnior;São José d... - SP;Presencial;Efetivo;Também p/ PcD;01/08/2023
PTC GROUP;Administrador de Dados;São Paulo - SP;Remoto;Pessoa Jurídica;Também p/ PcD;01/08/2023
V8.TECH;Pessoa Arquiteta de Governança de Dados;Não informado;Remoto;Pessoa Jurídica;Também p/ PcD;01/08/2023
Portobello;Pessoa Especialista em Engenharia de Dados;Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;01/08/2023
Strattner;Analista de Dados (SP/RJ/SC);Palhoça - SC;Presencial;Efetivo;Não informado;01/08/2023
Colormaq;Analista de Dados E-commerce;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;01/08/2023
Seja Globalweb;ANALISTA DE BANCO DE DADOS PL;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;01/08/2023
Smarthis;Cientista de Dados Junior;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;31/07/2023
Smarthis;Cientista de Dados Sênior;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;31/07/2023
Smarthis;Engenheiro de Dados;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;31/07/2023
YDUQS - Vagas Tech;PESSOA CIENTISTA DE DADOS (ESPECIALISTA);Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;31/07/2023
YDUQS - Vagas Tech;PESSOA ENGENHEIRA DE DADOS (ESPECIALISTA);Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;31/07/2023
alt.bank;Pessoa Cientista de Dados;São Paulo - SP;Remoto;Pessoa Jurídica;Também p/ PcD;31/07/2023
Globo;Analista de Dados Pleno | Inteligência de Mercado - Dados & Serviços;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;31/07/2023
V4 Company;Analista de Dados Pleno | Time de Dados;São Leopoldo - RS;Presencial;Pessoa Jurídica;Não informado;31/07/2023
Leega Consultoria;Engenheiro de Dados Azure Sr. ( Inglês & Espanhol);São Paulo - SP;Remoto;Efetivo;Não informado;31/07/2023
OMNI SAÚDE;Analista de Dados & PowerBI;Goiânia - GO;Presencial;Pessoa Jurídica;Também p/ PcD;31/07/2023
Núclea;Analista de Gestão de Dados Sr;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;31/07/2023
Webedia Brasil;Analista de Dados Comerciais;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;31/07/2023
ITAPEVA Recuperação de Créditos ;Trainee de Banco de Dados;São Paulo - SP;Presencial;Efetivo;Não informado;31/07/2023
Raízen ;Analista de Dados Sênior | Shell Box - Remoto ;São Paulo - SP;Remoto;Efetivo;Não informado;31/07/2023
GLOBAL HITSS;13420-Pessoa Administradora de Banco de Dados;São Paulo - SP;Presencial;Efetivo;Não informado;28/07/2023
Zallpy Digital;Estágio de Análise de dados ;Porto Alegre - RS;Remoto;Estágio;Também p/ PcD;28/07/2023
Join Tecnologia & Design;Analista de Dados JR;Brasília - DF;Remoto;Efetivo;Também p/ PcD;28/07/2023
Vibra Energia;Gerente de Relacionamento com o Cliente - CRM e Dados ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;28/07/2023
NAVA | Technology for Business;PESSOA ENGENHEIRA DE DADOS SR ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;28/07/2023
Vagas MRM Brasil;Analista de Dados Pleno (AD) FREELANCER;São Paulo - SP;Remoto;Freelancer;Também p/ PcD;27/07/2023
Energisa TECH;ANL BANCO DADOS I;Cataguases - MG;Presencial;Efetivo;Também p/ PcD;27/07/2023
Porto;Cientista de Dados Sr;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;27/07/2023
Banco Bmg;Coordenação em Ciência de Dados - IA;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;27/07/2023
Central IT;Analista de banco de Dados;Brasília - DF;Presencial;Efetivo;Também p/ PcD;27/07/2023
Central Ailos;Analista de Gestão de Projetos II - Foco em Dados;Blumenau - SC;Presencial;Efetivo;Também p/ PcD;27/07/2023
V8.TECH;Analista de Banco de Dados Oracle - Sênior;Não informado;Presencial;Pessoa Jurídica;Não informado;27/07/2023
Stefanini Group;Analista de redes e de comunicação de dados Sênior - RJ;Não informado;Presencial;Efetivo;Também p/ PcD;27/07/2023
Vibra Energia;Cientista de Dados Sr;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;27/07/2023
Stefanini Group;Administrador de banco de dados Sênior - ;Não informado;Presencial;Efetivo;Também p/ PcD;27/07/2023
Stefanini Group;Administrador de Banco de Dados Pleno ;Não informado;Presencial;Efetivo;Também p/ PcD;27/07/2023
Seja Globalweb;ANALISTA DE BANCO DE DADOS SR ;Brasília - DF;Presencial;Pessoa Jurídica;Também p/ PcD;27/07/2023
Seja Globalweb;ANALISTA DE INFRAESTRUTURA PL (SUPORTE EM ANÁLISE DE BANCO DE DADOS DE CAPACIDADE);Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;27/07/2023
Localiza&Co;ESPECIALISTA EM ENGENHARIA DE DADOS I;Belo Horiz... - MG;Remoto;Efetivo;Não informado;27/07/2023
Localiza&Co;ENGENHEIRO DE DADOS III;Belo Horiz... - MG;Remoto;Efetivo;Não informado;27/07/2023
DB;Dev Node.js - Segmento de Inteligência de Dados;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;26/07/2023
MTP Métodos e Tecnologia – Brasil;534 - Trainee Inovação & Dados;São Paulo - SP;Presencial;Efetivo;Não informado;26/07/2023
Central Ailos;Administrador de Banco de Dados III - Foco em Oracle;Blumenau - SC;Remoto;Efetivo;Também p/ PcD;26/07/2023
MESHA TECNOLOGIA;Analista de Dados;Maceió - AL;Remoto;Efetivo;Também p/ PcD;26/07/2023
Leega Consultoria;Engenheiro de Dados GCP Sênior (Big Query / DataFlow);Barueri - SP;Remoto;Pessoa Jurídica;Não informado;26/07/2023
VR;ESPECIALISTA EM CIÊNCIA DE DADOS;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;25/07/2023
Talentos Hapvida;Oportunidade Interna - Analista de Dados Junior - Auditoria Interna;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;25/07/2023
Vitru Education;Professor-Autor - Ciência de Dados, Inteligência Artificial e Novas Tecnologias;Florianópolis - SC;Remoto;Autônomo;Também p/ PcD;25/07/2023
Neos;Analista de BI/Dados Pleno;São Paulo - SP;Remoto;Pessoa Jurídica;Também p/ PcD;25/07/2023
Hapvida NotreDame Intermédica;Analista de Dados Junior - Auditoria Interna;Fortaleza - CE;Presencial;Efetivo;Também p/ PcD;25/07/2023
NC Tech;Banco de Talentos - Especialista em Dados;Hortolândia - SP;Presencial;Banco de Talentos;Também p/ PcD;25/07/2023
V.tal | o futuro passa por aqui;Analista de Dados (Performance Operacional) - Porto Alegre/RS;Não informado;Presencial;Efetivo;Não informado;25/07/2023
Hospital São Lucas da PUCRS;CIENTISTA DE DADOS SÊNIOR;Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;25/07/2023
SLC Agrícola;Analista de Suprimentos (Inteligência de dados);Porto Alegre - RS;Presencial;Efetivo;Também p/ PcD;25/07/2023
PreparaRH;Analista de Dados Júnior ;Araçatuba - SP;Presencial;Efetivo;Também p/ PcD;25/07/2023
Afya ;AFYA BH | Analista de Dados Educacionais Sênior;Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;25/07/2023
GAV Resorts;Estagio em Ciências de Dados;Goiânia - GO;Presencial;Efetivo;Também p/ PcD;24/07/2023
Unicred Central RJ/MT;Estagiário em Análise de Dados;Rio de Jan... - RJ;Presencial;Estágio;Não informado;24/07/2023
JDC Tech;Engenheiro de Dados Pleno;Não informado;Remoto;Efetivo;Também p/ PcD;24/07/2023
Empresa de Tecnologia;Engenheiro de Dados;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;21/07/2023
Atento TI;Analista de Dados Pleno - São Paulo - Híbrido;Não informado;Presencial;Efetivo;Também p/ PcD;21/07/2023
Vagas MRM Brasil;Diretora de Estratégia e Dados - Foco CRM;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;21/07/2023
Claro; Cientista De Dados Júnior ;Sao Paulo - SP;Presencial;Efetivo;Não informado;21/07/2023
GAVB ;Pessoa Engenheira de dados III;Não informado;Remoto;Efetivo;Não informado;21/07/2023
Cidade Center Norte;Advogado(a) Sênior (Compliance, Integridade e Privacidade de Dados) ;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;21/07/2023
GRUPO LUIZ HOHL / CASA DO PICA PAU;Analista de Dados;Goiânia - GO;Remoto;Efetivo;Também p/ PcD;21/07/2023
Bip Brasil;Pessoa Engenheira de Dados Sênior - Serviços Financeiros ;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;21/07/2023
Locaweb; Analista de Dados Jr - modelo de trabalho híbrido (vaga exclusiva para PCD);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;20/07/2023
DUX Nutrition Lab;Analista de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;20/07/2023
Cielo;Engenheiro de Dados;Barueri - SP;Remoto;Efetivo;Também p/ PcD;20/07/2023
DUX Nutrition Lab;Analista de Dados Sênior;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;20/07/2023
Leve Saúde;Cientista de Dados;Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;20/07/2023
MAGNA SISTEMAS;5180343 | Analista de Dados PL;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;20/07/2023
Cacau Show;Analista de Banco de Dados Sênior;Itapevi - SP;Remoto;Efetivo;Também p/ PcD;20/07/2023
Cacau Show;Analista de Banco de Dados Pleno;Itapevi - SP;Remoto;Efetivo;Também p/ PcD;20/07/2023
Musa Tecnologia ;Pessoa Analista de Dados Pleno;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;20/07/2023
Getrak.com;Head de Dados;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;19/07/2023
Corporativo - Agibank;ANALISTA DE PRIVACIDADE DE DADOS PLENO (HIBRIDO CAMPINAS/SP);Campinas - SP;Presencial;Efetivo;Não informado;19/07/2023
Faça parte do time Mercantil;Analista de Dados Cliente Junior ;Belo Horiz... - MG;Presencial;Efetivo;Também p/ PcD;18/07/2023
Stefanini Group;ADMINISTRADOR BANCO DADOS PL;Sao Paulo - SP;Presencial;Efetivo;Também p/ PcD;18/07/2023
YDUQS;PESSOA COORDENADORA DE ANALISE DE DADOS;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;18/07/2023
Monte Carlo Joias;Estagiário de Análise de Dados;Rio de Jan... - RJ;Presencial;Estágio;Também p/ PcD;18/07/2023
Supernova;Analista de Dados ;Goiânia - GO;Presencial;Efetivo;Não informado;18/07/2023
Talentos Hapvida;Oportunidade Interna - Analista de Dados Pl;Fortaleza - CE;Presencial;Banco de Talentos;Também p/ PcD;18/07/2023
Hapvida NotreDame Intermédica;Analista de Dados Pl;Fortaleza - CE;Presencial;Banco de Talentos;Também p/ PcD;18/07/2023
Recrutamento para área de tecnologia com Fit Cultural e Aderência Técnica.;Gerente de Dados				;São Paulo - SP;Remoto;Efetivo;Não informado;17/07/2023
Soma;Analista de Dados e Melhoria Contínua Sênior;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;17/07/2023
Visagio;Visagio Talentos - Estágio: Tecnologia | Automação e Dados Recife;Recife - PE;Presencial;Estágio;Também p/ PcD;17/07/2023
Visagio;Visagio Talentos - Estágio: Tecnologia | Automação e Dados Fortaleza;Fortaleza - CE;Presencial;Estágio;Também p/ PcD;17/07/2023
Visagio;Visagio Talentos - Estágio: Tecnologia | Automação e Dados SP;São Paulo - SP;Presencial;Estágio;Também p/ PcD;17/07/2023
The Bridge Vagas;Analista de Dados SR - Híbrido (São Paulo/SP);São Paulo - SP;Presencial;Efetivo;Também p/ PcD;17/07/2023
Visagio;Visagio Talentos - Estágio: Tecnologia | Automação e Dados RJ;Rio de Jan... - RJ;Presencial;Estágio;Também p/ PcD;17/07/2023
GLOBAL HITSS;13264-Pessoa Administradora de Banco de Dados;Brasília - DF;Presencial;Efetivo;Não informado;17/07/2023
GLOBAL HITSS;13268-Pessoa Administradora de Banco de Dados;Brasília - DF;Presencial;Efetivo;Não informado;17/07/2023
CantuStore;Engenheiro de Dados PL;Itajaí - SC;Presencial;Efetivo;Também p/ PcD;17/07/2023
Vem ser Tahto;ANALISTA SENIOR DE DADOS E INDICADORES DA QUALIDADE - GOIÂNIA/GO | STAFF;Goiânia - GO;Presencial;Efetivo;Também p/ PcD;14/07/2023
GnTech ;Analista de Dados ;Florianópolis - SC;Presencial;Efetivo;Não informado;14/07/2023
GLOBAL HITSS;13124-Pessoa Engenheira de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;14/07/2023
Afya ;PEBMED | Analista de Dados Júnior (Vaga Exclusiva para Profissionais com Deficiência);Rio de Jan... - RJ;Remoto;Efetivo;Também p/ PcD;14/07/2023
Oportunidades T-Systems;ANALISTA BANCO DE DADOS - ORACLE ;Sao Bernar... - SP;Remoto;Efetivo;Também p/ PcD;14/07/2023
Wake;Especialista em Banco de Dados (DBA) - Modelo de Trabalho Híbrido;Não informado;Presencial;Efetivo;Também p/ PcD;14/07/2023
wemobi;Estágio em Gerenciamento de Dados Comerciais;Barueri - SP;Presencial;Estágio;Não informado;14/07/2023
Ambipar Response ES S/A;AMBIPAR RESPONSE CONTROL - Analista de Dados - Homeoffice;Vitória - ES;Remoto;Efetivo;Também p/ PcD;14/07/2023
Stormx;Pessoa Engenheira de Dados;São Paulo - SP;Remoto;Pessoa Jurídica;Não informado;14/07/2023
Cielo;Analista Sênior em Governança de Dados;Barueri - SP;Remoto;Efetivo;Também p/ PcD;14/07/2023
GLOBAL HITSS;13259-Pessoa Administradora de Dados;Brasília - DF;Presencial;Efetivo;Não informado;13/07/2023
GLOBAL HITSS;13260-Pessoa Administradora de Dados;Brasília - DF;Presencial;Efetivo;Não informado;13/07/2023
Raízen ;Cientista de Dados- Combustíveis;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;13/07/2023
Addebirare;Analista de Dados | Planejamento Comercial;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;13/07/2023
Sicoob MaxiCrédito: viva conosco a essência do Cooperativismo!;Analista de Recuperação de Crédito | foco em dados;Chapecó - SC;Presencial;Efetivo;Também p/ PcD;13/07/2023
Join Tecnologia & Design;Analista de Dados (Python);Brasília - DF;Remoto;Efetivo;Também p/ PcD;12/07/2023
Leega Consultoria;Engenheiro de Dados GCP - Sênior;São Paulo - SP;Remoto;Efetivo;Não informado;12/07/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every ;Analista Júnior de Privacidade de Dados;Brasília - DF;Presencial;Efetivo;Não informado;12/07/2023
GT Group;Estágio em Análise de Dados;Florianópolis - SC;Remoto;Estágio;Também p/ PcD;11/07/2023
Bip Brasil;Pessoa Especialista em Ciência de Dados;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;11/07/2023
Bip Brasil;Pessoa Cientista de Dados Sênior - Validação de Modelos;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;11/07/2023
Trabalhe na Mills;Especialista de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;11/07/2023
IPNET Growth Partner;Engenheiro de Dados Sênior ;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;10/07/2023
Barcelos;Assistente de Inteligência de dados;Campos dos... - RJ;Presencial;Efetivo;Não informado;10/07/2023
Foresea;Analista de Dados I | Data Analyst I;Macaé - RJ;Remoto;Efetivo;Também p/ PcD;09/07/2023
Getnet Brasil;Pessoa Arquiteta de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;07/07/2023
Getnet Brasil;Pessoa Engenheira de Dados PL;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;07/07/2023
Globo;Analista de Banco de Dados | DBDevOps ;Rio de Jan... - RJ;Remoto;Efetivo;Não informado;07/07/2023
UOL EdTech;Analista de Dados e BI Pl.;Sao Paulo - SP;Presencial;Efetivo;Não informado;07/07/2023
Ajinomoto do Brasil;Analista de Dados & Inteligência comercial;São Paulo - SP;Presencial;Efetivo;Não informado;07/07/2023
VIACERTA Banking;Cientista de Dados Sênior;Santo Cristo - RS;Remoto;Efetivo;Também p/ PcD;07/07/2023
GLOBAL HITSS;11619-Analista de Dados (BI);Campinas - SP;Presencial;Efetivo;Também p/ PcD;06/07/2023
Ambev Tech;Engenharia de Dados - Financeiro (Anaplan);Não informado;Presencial;Efetivo;Também p/ PcD;06/07/2023
GOVERNANÇABRASIL - GOVBR;Analista de Dados Jr;Blumenau - SC;Remoto;Efetivo;Também p/ PcD;06/07/2023
ORIZON VR;Analista de Dados ;São Paulo - SP;Presencial;Efetivo;Não informado;06/07/2023
Algar Telecom;Pessoa Analista de Segurança da Informação II (Aplicações e Dados);Uberlandia - MG;Remoto;Associado;Também p/ PcD;06/07/2023
JBS;Analista de BI/Dados – Sênior/Especialista ;São Paulo - SP;Presencial;Efetivo;Não informado;06/07/2023
Unicred Central Conexão;Cientista de Dados | Florianópolis;Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;06/07/2023
Porto;Cientista de Dados Júnior – Pesquisa Operacional;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;05/07/2023
Energisa TECH;ENGENHEIRO DADOS I;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;05/07/2023
Claranet Brasil;Administrador (a) de Banco de Dados Oracle Sr.;Barueri - SP;Presencial;Efetivo;Também p/ PcD;05/07/2023
J&T Express Brasil;Analista de dados ;Florianópolis - SC;Presencial;Efetivo;Também p/ PcD;05/07/2023
HS FINANCEIRA S/A - CFI;Analista de Dados JR - HS Financeira;Dois Irmãos - RS;Presencial;Efetivo;Também p/ PcD;04/07/2023
Vem ser Tahto;ESPECIALISTA EM ENGENHARIA DE DADOS - GOIÂNIA/GO | STAFF;Goiânia - GO;Remoto;Efetivo;Também p/ PcD;04/07/2023
Unidades V4 Company; Analista de Dados - RPZ & Co (Presencial);São José d... - SP;Presencial;Pessoa Jurídica;Não informado;03/07/2023
Stefanini Group;Administrador de Dados;Não informado;Remoto;Efetivo;Também p/ PcD;03/07/2023
Minsait an Indra Company;Engenheiro de Dados Sênior;Goiania - GO;Presencial;Efetivo;Também p/ PcD;03/07/2023
Núclea;Assistente de Análise de Dados - Vaga PCD;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;30/06/2023
Contabilizei;Analista de Dados Pleno;Não informado;Remoto;Efetivo;Também p/ PcD;30/06/2023
Cogna Educação;ENGENHEIRO DADOS IV - AD.1282;São Paulo - SP;Remoto;Efetivo;Não informado;29/06/2023
Saber Educação;ANALISTA DE DADOS III ;São Paulo - SP;Presencial;Efetivo;Não informado;29/06/2023
NAVA | Technology for Business;PESSOA ANALISTA DE DADOS SR - Riscos/Inteligência;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;28/06/2023
Cielo;Analista de Dados Sr;Barueri - SP;Remoto;Efetivo;Também p/ PcD;28/06/2023
REDE CACIQUE;FRENTISTA  - Baixa Grande do Ribeiro/PI (BANCO DE DADOS);Baixa Gran... - PI;Presencial;Banco de Talentos;Também p/ PcD;28/06/2023
Samsung SDS Latin America;Cientista de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;27/06/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every ;Analista Sênior de Privacidade de Dados;Brasília - DF;Presencial;Efetivo;Não informado;27/06/2023
Seja Every segurança da informação cybersecurity Every #SerFeliz LGPD GRC gerenciamento de risco inovação Every TI VempraEvery Vem pra Every ;Analista Pleno de Privacidade de Dados;Brasília - DF;Presencial;Efetivo;Não informado;27/06/2023
Instituto de Pesquisas ELDORADO;Estágio para Analista de Dados;Manaus - AM;Presencial;Efetivo;Não informado;26/06/2023
Banco Bmg;Especialista de Arquitetura de Dados;São Paulo - SP;Presencial;Efetivo;Também p/ PcD;26/06/2023
Brasilprev;BANCO DE TALENTOS - Tecnologia e Dados;São Paulo - SP;Presencial;Banco de Talentos;Também p/ PcD;26/06/2023
Agrofel Grãos e Insumos;Banco de dados | Gerente de Unidade;Não informado;Presencial;Efetivo;Também p/ PcD;24/06/2023
Agrofel Grãos e Insumos;Banco de Dados | Assistente Administrativo e Estoque ;Não informado;Presencial;Efetivo;Também p/ PcD;24/06/2023
Agrofel Grãos e Insumos;Banco de Dados | Consultor Comercial ;Não informado;Presencial;Efetivo;Também p/ PcD;24/06/2023
Faça parte do time Mercantil;Analista de Dados de Controladoria Pleno;Belo Horiz... - MG;Remoto;Efetivo;Também p/ PcD;23/06/2023
B. Braun Group ;Especialista de Inteligência de Dados;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;23/06/2023
Agrofel Grãos e Insumos;Banco de Dados | Coordenador Administrativo;Não informado;Presencial;Efetivo;Também p/ PcD;22/06/2023
Agrofel Grãos e Insumos;Banco de dados | Coordenador Comercial;Não informado;Presencial;Efetivo;Também p/ PcD;22/06/2023
YDUQS;PESSOA ANALISTA EM GESTÃO DE SERVIÇOS PLENA (DADOS);Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;22/06/2023
Account Manager Jr;Product Owner Dados;Paraná - PR;Presencial;Pessoa Jurídica;Não informado;22/06/2023
Embraer;Cientista de Dados JR/PL ;São José d... - SP;Presencial;Efetivo;Também p/ PcD;22/06/2023
OMNI Brasil;Estagiário de Dados;São Paulo - SP;Presencial;Estágio;Não informado;20/06/2023
Riachuelo ;Administrador de Banco de Dados  Sênior;São Paulo - SP;Remoto;Efetivo;Também p/ PcD;20/06/2023
Hapvida NotreDame Intermédica;Estagiário de Direito (Privacidade e Proteção de Dados) ;Fortaleza - CE;Presencial;Estágio;Também p/ PcD;20/06/2023
Grupo Refriko;Analista de Dados;Cambé - PR;Presencial;Efetivo;Não informado;20/06/2023
Stefanini Group;ADMINISTRADOR DE BANCO DE DADOS SÊNIOR;Rio de Jan... - RJ;Presencial;Efetivo;Também p/ PcD;19/06/2023
